label,path,type,checker
iv,/DataCentric/data/train/iv/ae1d61fa-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af18ee4e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/ab25e706-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ac8638f8-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/acfafbe8-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ac7bcbca-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aecac3ae-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/b010657a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab70a7be-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af7ce55c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b0f2b4a2-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/abaae12c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/abf3475a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae80d1ae-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/abc07384-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b04b543c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aacfb7f0-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aad94040-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af95b456-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aebe0916-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad802e58-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/accb2350-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aed64774-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aeaa6ab4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae64e94e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac0b5214-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/ae9cb2b6-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/afa515f4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aaec2fac-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/aba24486-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/adbecd7a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/acf4d02e-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/abeb4fd2-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aae5626c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ac74c53c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab88f44a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/ab1ff1d4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/adf770c6-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae358834-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/adb1508c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac367660-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae6bfc70-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad1ef8d6-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab628206-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b0dda44a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ac75ce82-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aef30de6-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b0d429b0-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ac92a520-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aeecd138-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af2b7636-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/adca693c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad42a984-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ac71708a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac1b916a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae213366-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad06c48c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae6f8f5c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b07095d0-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae3e8740-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac34358a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/adf2251c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae043d1a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aeab04ce-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ade9432a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af43e112-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iii,/DataCentric/data/train/iii/b0da6654-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/ace5151c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae202fca-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae87efca-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/b01cd51c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af80677c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac610844-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aabbb6b0-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab4d7af0-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab3f6550-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab8a9aac-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae1251f2-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae5d44b4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab77bb3a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac2d07a6-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ii,/DataCentric/data/train/ii/ab4c396a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac2c3790-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af621452-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae78a164-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aae18c50-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vi,/DataCentric/data/train/vi/aac55d5a-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
ix,/DataCentric/data/train/ix/aee0a3f4-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
vii,/DataCentric/data/train/vii/acea63d2-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
viii,/DataCentric/data/train/viii/ad4c39ae-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
v,/DataCentric/data/train/v/af97200c-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae792152-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
iv,/DataCentric/data/train/iv/ae3f06ac-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
i,/DataCentric/data/train/i/ac116d48-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
x,/DataCentric/data/train/x/afe23844-ce5d-11eb-b317-38f9d35ea60f.png,keep,Hao
